customer_id,recency_days,frequency,monetary,first_order,country,channel,tenure_days,avg_order_value,r_score,f_score,m_score,rfm_score,segment
C50001,95,1,27.619999999999997,2024-09-28,Germany,Organic Search,95,27.619999999999997,3,1,1,5,Needs Attention
C50002,16,1,46.09,2024-12-16,Spain,Organic Search,16,46.09,5,1,1,7,New / Promising
C50003,19,7,886.9300000000001,2023-07-02,Germany,Organic Search,549,126.70428571428572,5,5,4,14,Champions
C50004,28,4,1446.1,2023-02-18,Germany,Paid Social,683,361.525,4,5,5,14,Champions
C50007,17,2,81.6,2024-09-18,Germany,Organic Search,105,40.8,5,3,1,9,New / Promising
C50009,136,1,32.48,2024-08-18,France,Referral,136,32.48,2,1,1,4,Hibernating
C50010,402,1,67.09,2023-11-26,Spain,Email,402,67.09,1,1,1,3,Hibernating
C50011,25,1,181.42,2024-12-07,Germany,Organic Search,25,181.42,4,1,2,7,New / Promising
C50012,15,3,818.47,2024-09-26,Germany,Referral,97,272.8233333333333,5,4,4,13,Champions
C50014,255,1,300.95,2024-04-21,Italy,Referral,255,300.95,2,1,3,6,Hibernating
C50015,11,4,1029.76,2023-12-19,Germany,Email,379,257.44,5,5,5,15,Champions
C50016,27,4,586.5699999999999,2023-03-03,Italy,Paid Social,670,146.64249999999998,4,5,4,13,Champions
C50018,318,3,208.13,2023-01-13,Germany,Referral,719,69.37666666666667,1,4,2,7,At Risk
C50019,31,1,137.15,2024-12-01,Austria,Direct,31,137.15,4,1,2,7,New / Promising
C50020,45,1,335.86,2024-11-17,Netherlands,Email,45,335.86,4,1,3,8,New / Promising
C50021,118,2,897.3499999999999,2023-11-08,France,Direct,420,448.67499999999995,3,3,4,10,Loyal
C50022,114,1,255.93,2024-09-09,France,Direct,114,255.93,3,1,2,6,Needs Attention
C50025,29,2,327.51,2024-10-05,Austria,Paid Social,88,163.755,4,3,3,10,Loyal
C50026,31,2,216.69,2024-04-25,Italy,Paid Social,251,108.345,4,3,2,9,Potential Loyal
C50028,42,6,1274.3899999999999,2023-01-14,Austria,Direct,718,212.3983333333333,4,5,5,14,Champions
C50030,3,3,1998.9099999999999,2024-02-16,Germany,Organic Search,320,666.3033333333333,5,4,5,14,Champions
C50032,118,2,309.17,2024-08-08,Germany,Paid Social,146,154.585,3,3,3,9,Loyal
C50034,31,2,593.19,2024-09-09,Germany,Direct,114,296.595,4,3,4,11,Loyal
C50035,17,5,3751.3,2024-09-22,Netherlands,Paid Social,101,750.26,5,5,5,15,Champions
C50036,522,1,24.87,2023-07-29,Germany,Paid Social,522,24.87,1,1,1,3,Hibernating
C50037,283,2,1624.87,2023-09-16,Germany,Email,473,812.435,1,3,5,9,At Risk
C50038,398,2,117.02000000000001,2023-01-20,Netherlands,Paid Social,712,58.510000000000005,1,3,1,5,At Risk
C50039,279,1,51.65,2024-03-28,Germany,Paid Social,279,51.65,1,1,1,3,Hibernating
C50041,208,1,768.9,2024-06-07,Germany,Organic Search,208,768.9,2,1,4,7,Can't Lose Them
C50045,427,2,649.11,2023-10-05,Netherlands,Organic Search,454,324.555,1,3,4,8,At Risk
C50047,480,1,587.74,2023-09-09,Germany,Direct,480,587.74,1,1,4,6,Can't Lose Them
C50049,232,1,166.5,2024-05-14,Netherlands,Organic Search,232,166.5,2,1,2,5,Hibernating
C50050,102,1,112.42999999999999,2024-09-21,Austria,Email,102,112.42999999999999,3,1,1,5,Needs Attention
C50051,12,2,392.84999999999997,2024-11-04,Germany,Paid Social,58,196.42499999999998,5,3,3,11,Loyal
C50053,32,1,74.01,2024-11-30,Netherlands,Organic Search,32,74.01,4,1,1,6,New / Promising
C50055,117,2,216.29999999999998,2024-05-13,Netherlands,Paid Social,233,108.14999999999999,3,3,2,8,Potential Loyal
C50057,186,1,54.65,2024-06-29,Austria,Paid Social,186,54.65,2,1,1,4,Hibernating
C50058,285,3,262.84000000000003,2023-11-18,Italy,Organic Search,410,87.61333333333334,1,4,2,7,At Risk
C50059,230,1,306.72,2024-05-16,Germany,Paid Social,230,306.72,2,1,3,6,Hibernating
C50060,15,1,349.65,2024-12-17,Germany,Referral,15,349.65,5,1,3,9,New / Promising
C50061,153,3,531.14,2023-11-30,Germany,Organic Search,398,177.04666666666665,2,4,3,9,At Risk
C50063,76,6,2124.53,2024-02-22,Germany,Email,314,354.08833333333337,3,5,5,13,Loyal
C50065,21,2,639.55,2023-05-28,Netherlands,Direct,584,319.775,5,3,4,12,Loyal
C50066,495,1,24.21,2023-08-25,France,Direct,495,24.21,1,1,1,3,Hibernating
C50067,494,2,202.4,2023-07-04,Austria,Paid Social,547,101.2,1,3,2,6,At Risk
C50068,405,1,562.62,2023-11-23,Germany,Organic Search,405,562.62,1,1,4,6,Can't Lose Them
C50069,545,2,1862.44,2023-04-13,Austria,Organic Search,629,931.22,1,3,5,9,At Risk
C50070,592,1,25.3,2023-05-20,Germany,Organic Search,592,25.3,1,1,1,3,Hibernating
C50071,122,3,971.24,2024-03-02,Netherlands,Paid Social,305,323.74666666666667,3,4,5,12,Loyal
C50072,552,1,65.84,2023-06-29,Italy,Direct,552,65.84,1,1,1,3,Hibernating
C50073,8,3,423.53999999999996,2024-03-22,Austria,Direct,285,141.17999999999998,5,4,3,12,Loyal
C50074,374,1,238.92000000000002,2023-12-24,Spain,Organic Search,374,238.92000000000002,1,1,2,4,Hibernating
C50075,35,1,261.58000000000004,2024-11-27,Germany,Paid Social,35,261.58000000000004,4,1,2,7,New / Promising
C50077,559,1,417.37,2023-06-22,France,Paid Social,559,417.37,1,1,3,5,Hibernating
C50078,280,2,46.28,2024-03-25,Netherlands,Organic Search,282,23.14,1,3,1,5,At Risk
C50079,239,2,792.19,2024-02-16,Germany,Direct,320,396.095,2,3,4,9,At Risk
C50082,108,1,180.24,2024-09-15,Germany,Email,108,180.24,3,1,2,6,Needs Attention
C50084,37,2,137.04,2024-06-27,Spain,Referral,188,68.52,4,3,2,9,Potential Loyal
C50085,169,4,1334.09,2023-08-01,Italy,Paid Social,519,333.5225,2,5,5,12,At Risk
C50086,22,2,675.45,2024-06-10,Germany,Organic Search,205,337.725,5,3,4,12,Loyal
C50087,93,1,128.97,2024-09-30,Italy,Email,93,128.97,3,1,2,6,Needs Attention
C50089,24,2,272.52,2024-09-28,France,Email,95,136.26,5,3,2,10,Potential Loyal
C50092,559,2,581.75,2023-01-24,Germany,Referral,708,290.875,1,3,4,8,At Risk
C50093,13,5,584.51,2024-04-24,Germany,Organic Search,252,116.902,5,5,4,14,Champions
C50094,158,1,86.88,2024-07-27,France,Paid Social,158,86.88,2,1,1,4,Hibernating
C50096,24,5,1924.05,2023-11-04,Germany,Organic Search,424,384.81,5,5,5,15,Champions
C50097,5,2,476.01,2024-11-29,Germany,Email,33,238.005,5,3,3,11,Loyal
C50098,126,2,270.75,2024-07-14,France,Email,171,135.375,3,3,2,8,Potential Loyal
C50099,194,2,315.96,2024-02-14,Germany,Paid Social,322,157.98,2,3,3,8,At Risk
C50101,176,1,104.73,2024-07-09,Italy,Paid Social,176,104.73,2,1,1,4,Hibernating
C50104,31,3,502.42,2023-12-05,France,Organic Search,393,167.47333333333333,4,4,3,11,Loyal
C50105,238,1,1633.29,2024-05-08,Spain,Organic Search,238,1633.29,2,1,5,8,Can't Lose Them
