customer_id,signup_date,country,acquisition_channel,age
C50000,2023-11-18,Austria,Direct,21.0
C50001,2024-08-26,Germany,Organic Search,54.0
C50002,2023-11-15,Spain,Organic Search,34.0
C50003,2023-03-19,Germany,Organic Search,29.0
C50004,2023-01-24,Germany,Paid Social,42.0
C50005,2023-04-06,Austria,Organic Search,46.0
C50006,2024-01-10,Germany,Paid Social,46.0
C50007,2024-08-26,Germany,Organic Search,38.0
C50008,2023-05-13,Germany,Referral,40.0
C50009,2022-07-12,France,Referral,41.0
C50010,2022-06-23,Spain,Email,42.0
C50011,2024-04-23,Germany,Organic Search,43.0
C50012,2024-07-05,Germany,Referral,51.0
C50013,2021-10-10,France,Organic Search,39.0
C50014,2021-07-11,Italy,Referral,28.0
C50015,2023-11-05,Germany,Email,36.0
C50016,2022-01-05,Italy,Paid Social,47.0
C50017,2024-07-14,Spain,Organic Search,18.0
C50018,2022-10-20,Germany,Referral,18.0
C50019,2022-01-01,Austria,Direct,49.0
C50020,2024-10-17,Netherlands,Email,56.0
C50021,2022-02-13,France,Direct,23.0
C50022,2022-09-10,France,Direct,39.0
C50023,2022-01-20,Austria,Organic Search,33.0
C50024,2021-11-02,Austria,Referral,35.0
C50025,2021-03-09,Austria,Paid Social,42.0
C50026,2021-06-12,Italy,Paid Social,22.0
C50027,2022-03-02,France,Organic Search,25.0
C50028,2021-06-07,Austria,Direct,34.0
C50029,2023-11-01,Spain,Email,36.0
C50030,2024-02-12,Germany,Organic Search,
C50031,2023-02-20,Germany,Paid Social,47.0
C50032,2022-11-01,Germany,Paid Social,33.0
C50033,2023-07-18,Spain,Referral,33.0
C50034,2024-09-02,Germany,Direct,41.0
C50035,2024-08-09,Netherlands,Paid Social,36.0
C50036,2021-05-11,  Germany ,Paid Social,48.0
C50037,2022-03-15,Germany,Email,27.0
C50038,2022-06-23,Netherlands,Paid Social,21.0
C50039,2022-07-14,Germany,Paid Social,34.0
C50040,2023-10-08,SPAIN,Organic Search,39.0
C50041,2023-03-24,Germany,Organic Search,23.0
C50042,2021-05-27,Spain,Paid Social,21.0
C50043,2023-01-23,Germany,Direct,40.0
C50044,2023-08-11,Italy,Paid Social,29.0
C50045,2021-10-02,Netherlands,Organic Search,
C50046,2024-07-23,Germany,Referral,50.0
C50047,2021-06-03,Germany,Direct,30.0
C50048,2024-10-21,Germany,Paid Social,52.0
C50049,2021-09-26,Netherlands,Organic Search,38.0
C50050,2024-08-02,Austria,Email,42.0
C50051,2024-09-30,Germany,Paid Social,35.0
C50052,2024-12-12,France,Email,18.0
C50053,2024-06-20,  Netherlands ,Organic Search,24.0
C50054,2024-05-28,France,Organic Search,36.0
C50055,2023-12-31,Netherlands,Paid Social,42.0
C50056,2024-05-28,France,Email,18.0
