order_id,order_line,order_date,customer_id,product_id,quantity,unit_price,discount_pct,unit_cost,status
O203376,1,2024-10-21,C52227,P1120,1,21.77,0.0,12.19,completed
O202174,2,2024-11-23,C51447,P1060,2,46.08,10.0,24.58,completed
O202603,1,2024-06-29,C51743,P1021,2,163.75,0.0,127.73,completed
O202275,1,2024-10-06,C51518,P1083,1,49.42,0.0,32.12,completed
O200529,2,2023-08-19,C50383,P1034,1,32.89,0.0,20.39,completed
O201193,1,02/03/2024,C50788,P1092,1,16.6,5.0,6.99,completed
O200999,1,2024-12-08,C50685,P1050,1,20.48,40.0,16.39,completed
O202681,2,2024-12-06,C51798,P1015,1,140.65,40.0,182.85,completed
O204502,1,2024-09-08,C53016,P1068,1,26.9,0.0,12.91,completed
O201161,4,2023-11-02,C50774,P1058,1,64.89,0.0,31.15,completed
O200110,2,2023-06-22,C50077,P1058,3,64.89,0.0,31.15,completed
O202830,1,2023-12-08,C51885,P1008,4,121.86,,118.82,completed
O202981,2,2024-09-30,C51962,P1101,1,15.62,0.0,6.25,completed
O203797,1,2024-06-26,C52515,P1073,5,36.39,,23.65,completed
O200391,1,2024-01-06,C50280,P1052,-1,30.8,30.0,21.12,returned
O201203,4,22/08/2023,C50792,P1015,1,234.42,0.0,182.85,completed
O200201,2,27/11/2024,C50142,P1049,1,35.96,20.0,21.58,completed
O200604,1,11/09/2024,C50429,P1034,1,32.89,0.0,20.39,completed
O200043,3,2024-04-30,C50028,P1077,1,47.7,0.0,31.01,completed
O202017,1,"Dec 16, 2024",C51343,P1100,2,7.59,40.0,5.06,completed
O204679,1,"Jan 04, 2024",C53145,P1026,1,37.29,10.0,25.69,returned
O202496,1,"Apr 30, 2023",C51663,P1048,2,36.62,0.0,17.58,completed
O203035,2,"Jan 28, 2024",C51997,P1074,1,79.32,0.0,51.56,completed
O204814,2,2024-12-15,C53245,P1088,1,42.53,30.0,39.49,completed
O202523,2,27/02/2024,C51678,P1018,1,106.98,0.0,83.44,completed
O201490,1,2024-07-07,C50979,P1107,1,12.43,0.0,4.97,completed
O202757,2,2023-04-26,C51835,P1073,1,36.39,0.0,23.65,completed
O201644,1,2024-11-23,C51065,P1106,4,11.72,30.0,6.7,completed
O200822,3,01/11/2024,C50550,P1069,1,46.28,5.0,23.39,completed
O201045,1,02/12/2024,C50708,P1035,1,53.78,20.0,41.68,completed
O201196,2,2023-08-15,C50788,P1090,1,77.14,0.0,50.14,returned
O205673,1,19/12/2024,C53867,P1075,1,52.21,20.0,42.42,completed
